num_qubits,compiler_type,percent_inter,runtime,num_op,depth,impl
10,baseline,0.6529227631755321,0.00011012293333333327,411.0,148.4,baseline
20,baseline,0.7450817782766983,0.0005094478000000033,1668.7,466.5,baseline
30,baseline,0.7582864644007461,0.0011984791111110875,3925.2,893.5,baseline
