bench_name,num_qubits,compiler_type,percent_inter,runtime,num_op,depth,impl
pe_20,20,baseline,0.6281811738934341,9.312599999999991e-05,441.0,171.0,baseline
pe_20,20,multi_ctrl,0.3121218893778362,5.7669777777777926e-05,425.0,178.0,map+layout
pe_30,30,baseline,0.7854441949234302,0.00022344044444444562,798.0,268.0,baseline
pe_30,30,multi_ctrl,0.46132950967656594,0.00016148977777777785,896.0,304.0,map+layout
pe_40,40,baseline,0.7755627009646372,0.0003887500000000018,1356.0,400.0,baseline
pe_40,40,multi_ctrl,0.6975643811913912,0.000287428666666669,1333.0,385.0,map+layout
pe_50,50,baseline,0.8085659911323552,0.0005707635555555594,1938.0,505.0,baseline
pe_50,50,multi_ctrl,0.7240146016205398,0.00046338844444444285,1971.0,502.0,map+layout
