bench_name,num_qubits,compiler_type,percent_inter,runtime,num_op,depth,init_ctrl_latency,num_cif_pairs,impl
cc_12,12,baseline,0.6615214994487327,1.813999999999999e-05,159.0,109.0,9.850000000000004e-06,24.0,baseline
cc_12,12,multi_ctrl,0.29880478087649415,1.0039999999999995e-05,159.0,109.0,1.1650000000000004e-05,6.0,map+layout
cc_32,32,baseline,0.7888509071785432,7.605999999999985e-05,487.0,315.0,2.1750000000000004e-05,120.0,baseline
cc_32,32,multi_ctrl,0.12057877813504862,2.4879999999999918e-05,490.0,327.0,4.2000000000000004e-06,6.0,map+layout
